[INFO] [1775036876.147712977] [trajectory_metrics_node]: TrajectoryMetricsNode ready
  stage: fusion
  camera_gps_topic: /environment/GPS/GPSSDT/odom
  ambulance_gps_topic: /environment/GPS/GPSSDTAMBULANCE/odom
  estimation_topic: /yolo/detections_xyz
  target_track_id: 1
  output_dir: /home/isarlab/ros2_humble/metrics_output/esperimento_01/accelerated_right/esperimento_01_fusion
  max_abs_pose_m: 500.0
  max_abs_estimate_m: 200.0
  max_abs_error_m: 200.0
  max_pose_step_m: 1.5
  max_pose_speed_mps: 8.0
  max_yaw_rate_rps: 1.5
[INFO] [1775036876.169495939] [trajectory_metrics_node]: GT inizializzata: first_gt_rel_cam = [100.680, 28.599]
[INFO] [1775036876.170344668] [trajectory_metrics_node]: Primo campione stima per target 1: [3.372, -0.817]
[WARN] [1775036883.740848036] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.761m, x=97.570068359375, y=10.099997558593751
[WARN] [1775036883.836035848] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.762m, x=97.56005859375, y=10.099997558593751
[WARN] [1775036883.942667184] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.764m, x=97.550048828125, y=10.099997558593751
[WARN] [1775036884.037770764] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.766m, x=97.54004882812501, y=10.099997558593751
[WARN] [1775036884.144119459] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.768m, x=97.53003906250001, y=10.099997558593751
[WARN] [1775036884.238764979] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.769m, x=97.5200390625, y=10.099997558593751
[WARN] [1775036884.342394009] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.771m, x=97.51, y=10.099997558593751
[WARN] [1775036884.437412772] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.773m, x=97.50003906250001, y=10.099997558593751
[WARN] [1775036884.533835658] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.774m, x=97.49002929687501, y=10.099997558593751
[WARN] [1775036884.636206881] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.776m, x=97.480029296875, y=10.099997558593751
[WARN] [1775036884.734433802] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.778m, x=97.4700390625, y=10.099997558593751
[WARN] [1775036884.843729117] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.779m, x=97.460029296875, y=10.099997558593751
[WARN] [1775036884.944056135] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.781m, x=97.450029296875, y=10.099997558593751
[WARN] [1775036885.040860390] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.783m, x=97.4400390625, y=10.099997558593751
[WARN] [1775036885.138247690] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.785m, x=97.430029296875, y=10.099997558593751
[WARN] [1775036885.238544424] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.786m, x=97.420029296875, y=10.099997558593751
[WARN] [1775036885.344260052] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.788m, x=97.41001953125, y=10.099997558593751
[WARN] [1775036885.437415545] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=2.2749486329125628e-26, y=-5.316609648471509e+34
[WARN] [1775036885.537910049] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.792m, x=97.39001953125, y=10.099997558593751
[WARN] [1775036885.641308188] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.793m, x=97.38002929687501, y=10.099997558593751
[WARN] [1775036885.747136488] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.795m, x=97.37001953125001, y=10.099997558593751
[WARN] [1775036885.838411253] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=2.0681534797743057e-26, y=-5.316609648471509e+34
[WARN] [1775036885.935402048] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.799m, x=97.3500390625, y=10.099997558593751
[WARN] [1775036886.040559161] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.800m, x=97.340029296875, y=10.099997558593751
[WARN] [1775036886.138119034] [trajectory_metrics_node]: Scarto ambulance odom non plausibile: x=1.9130571149206132e-26, y=-5.316609648471509e+34
[WARN] [1775036886.239282765] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.804m, x=97.320029296875, y=10.099997558593751
[WARN] [1775036886.338821117] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.806m, x=97.31001953125, y=10.099997558593751
[WARN] [1775036886.436912241] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.808m, x=97.300029296875, y=10.099997558593751
[WARN] [1775036886.544948407] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.809m, x=97.290029296875, y=10.099997558593751
[WARN] [1775036886.641011600] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.811m, x=97.28003906250001, y=10.099997558593751
[WARN] [1775036886.738839328] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.813m, x=97.27002929687501, y=10.099997558593751
[WARN] [1775036886.834188315] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.815m, x=97.260029296875, y=10.099997558593751
[WARN] [1775036886.936541045] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.817m, x=97.250029296875, y=10.099997558593751
[WARN] [1775036887.044680918] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.818m, x=97.24002929687501, y=10.099997558593751
[WARN] [1775036887.140965166] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.820m, x=97.2300390625, y=10.099997558593751
[WARN] [1775036887.237278731] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.822m, x=97.220029296875, y=10.099997558593751
[WARN] [1775036887.337981373] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.824m, x=97.210029296875, y=10.099997558593751
[WARN] [1775036887.435234930] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.826m, x=97.199970703125, y=10.099997558593751
[WARN] [1775036887.597585116] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.828m, x=97.190029296875, y=10.099997558593751
[WARN] [1775036887.687270779] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.830m, x=97.180029296875, y=10.099997558593751
[WARN] [1775036887.777585662] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.831m, x=97.170029296875, y=10.099997558593751
[WARN] [1775036887.863498761] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.833m, x=97.160029296875, y=10.099997558593751
[WARN] [1775036887.958178061] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.835m, x=97.150029296875, y=10.099997558593751
[WARN] [1775036888.048133484] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.837m, x=97.14001953125, y=10.099997558593751
[WARN] [1775036888.137289786] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.839m, x=97.1300390625, y=10.099997558593751
[WARN] [1775036888.239093830] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.841m, x=97.1200390625, y=10.099997558593751
[WARN] [1775036888.344727254] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.843m, x=97.110029296875, y=10.099997558593751
[WARN] [1775036888.444933472] [trajectory_metrics_node]: Scarto ambulance odom per salto dinamico: step_too_large=18.845m, x=97.1000390625, y=10.099997558593751
